Gene,Description
Itfg2,KICSTOR complex protein ITFG2 OS=Mus musculus OX=10090 GN=Itfg2 PE=2 SV=1
Itga1,Integrin alpha-1 OS=Mus musculus OX=10090 GN=Itga1 PE=1 SV=2
Itga2,Integrin alpha-2 OS=Mus musculus OX=10090 GN=Itga2 PE=1 SV=2
Itga3,Integrin alpha-3 OS=Mus musculus OX=10090 GN=Itga3 PE=1 SV=1
Itga4,Integrin alpha-4 OS=Mus musculus OX=10090 GN=Itga4 PE=1 SV=1
Itga5,Integrin alpha-5 OS=Mus musculus OX=10090 GN=Itga5 PE=1 SV=3
Itga6,Integrin alpha-6 OS=Mus musculus GN=Itga6 PE=1 SV=2
Itga7,Integrin alpha-7 OS=Mus musculus OX=10090 GN=Itga7 PE=1 SV=3
Itgal,Integrin alpha-L OS=Mus musculus GN=Itgal PE=1 SV=1
Itgam,Integrin alpha-M OS=Mus musculus OX=10090 GN=Itgam PE=1 SV=2
Itgav,Integrin alpha-V OS=Mus musculus GN=Itgav PE=1 SV=1
Itgb1,Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1
Itgb1bp1,Integrin beta-1-binding protein 1 OS=Mus musculus OX=10090 GN=Itgb1bp1 PE=1 SV=1
Itgb2,Integrin beta-2 OS=Mus musculus OX=10090 GN=Itgb2 PE=1 SV=2
Itgb3,Integrin beta-3 OS=Mus musculus OX=10090 GN=Itgb3 PE=1 SV=2
Itgb3bp,Centromere protein R OS=Mus musculus GN=Itgb3bp PE=2 SV=1
Itgb5,Integrin beta-5 OS=Mus musculus OX=10090 GN=Itgb5 PE=1 SV=2
Itgb8,Integrin beta-8 OS=Mus musculus OX=10090 GN=Itgb8 PE=1 SV=1
Itih1,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Mus musculus OX=10090 GN=Itih1 PE=1 SV=2
Itih2,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Mus musculus OX=10090 GN=Itih2 PE=1 SV=1
Itih3,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus GN=Itih3 PE=1 SV=2
Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus GN=Itih4 PE=1 SV=2"
Itih5,Inter-alpha-trypsin inhibitor heavy chain H5 OS=Mus musculus OX=10090 GN=Itih5 PE=1 SV=1
Itm2a,Integral membrane protein 2A OS=Mus musculus OX=10090 GN=Itm2a PE=2 SV=2
Itm2b,Integral membrane protein 2B OS=Mus musculus GN=Itm2b PE=1 SV=1
Itm2c,Integral membrane protein 2C OS=Mus musculus GN=Itm2c PE=1 SV=2
Itpa,Inosine triphosphate pyrophosphatase OS=Mus musculus GN=Itpa PE=1 SV=2
Itpk1,Inositol-tetrakisphosphate 1-kinase OS=Mus musculus OX=10090 GN=Itpk1 PE=2 SV=1
Itpka,Inositol-trisphosphate 3-kinase A OS=Mus musculus GN=Itpka PE=1 SV=1
Itpkc,Inositol-trisphosphate 3-kinase C OS=Mus musculus OX=10090 GN=Itpkc PE=1 SV=1
Itpr1,"Inositol 1,4,5-trisphosphate receptor type 1 OS=Mus musculus GN=Itpr1 PE=1 SV=1"
Itpr2,"Inositol 1,4,5-trisphosphate receptor type 2 OS=Mus musculus GN=Itpr2 PE=1 SV=4"
Itpr3,"Inositol 1,4,5-trisphosphate receptor type 3 OS=Mus musculus GN=Itpr3 PE=1 SV=3"
Itsn1,Intersectin-1 OS=Mus musculus GN=Itsn1 PE=1 SV=1
Itsn2,Intersectin-2 OS=Mus musculus GN=Itsn2 PE=1 SV=1
Ivd,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Ivd PE=1 SV=1"
Ivns1abp,Influenza virus NS1A-binding protein homolog OS=Mus musculus OX=10090 GN=Ivns1abp PE=1 SV=2
Iws1,Protein IWS1 homolog OS=Mus musculus GN=Iws1 PE=1 SV=1
JPT1,Jupiter microtubule associated homolog 1 OS=Mus musculus GN=JPT1 PE=1 SV=3
Jag2,Protein jagged-2 OS=Mus musculus OX=10090 GN=Jag2 PE=2 SV=2
Jagn1,Protein jagunal homolog 1 OS=Mus musculus GN=Jagn1 PE=1 SV=2
Jak1,Tyrosine-protein kinase JAK1 OS=Mus musculus OX=10090 GN=Jak1 PE=1 SV=1
Jak2,Tyrosine-protein kinase JAK2 OS=Mus musculus OX=10090 GN=Jak2 PE=1 SV=2
Jakmip1,Janus kinase and microtubule-interacting protein 1 OS=Mus musculus OX=10090 GN=Jakmip1 PE=1 SV=2
Jakmip3,Janus kinase and microtubule-interacting protein 3 OS=Mus musculus GN=Jakmip3 PE=1 SV=2
Jam2,Junctional adhesion molecule B OS=Mus musculus OX=10090 GN=Jam2 PE=1 SV=1
Jam3,Junctional adhesion molecule C OS=Mus musculus GN=Jam3 PE=1 SV=2
Jaml,Junctional adhesion molecule-like OS=Mus musculus OX=10090 GN=Jaml PE=1 SV=2
Jbts17,Protein JBTS17 OS=Mus musculus GN=Jbts17 PE=1 SV=4
Jcad,Junctional protein associated with coronary artery disease OS=Mus musculus GN=Jcad PE=1 SV=2
Jmjd1c,Probable JmjC domain-containing histone demethylation protein 2C OS=Mus musculus OX=10090 GN=Jmjd1c PE=1 SV=3
Jmy,Junction-mediating and -regulatory protein OS=Mus musculus GN=Jmy PE=1 SV=1
Josd1,Josephin-1 OS=Mus musculus OX=10090 GN=Josd1 PE=1 SV=1
Josd2,Josephin-2 OS=Mus musculus OX=10090 GN=Josd2 PE=1 SV=1
Jph1,Junctophilin-1 OS=Mus musculus OX=10090 GN=Jph1 PE=1 SV=1
Jph2,Junctophilin-2 OS=Mus musculus OX=10090 GN=Jph2 PE=1 SV=2
Jph3,Junctophilin-3 OS=Mus musculus GN=Jph3 PE=1 SV=1
Jph4,Junctophilin-4 OS=Mus musculus GN=Jph4 PE=2 SV=1
Jpt2,Jupiter microtubule associated homolog 2 OS=Mus musculus OX=10090 GN=Jpt2 PE=1 SV=1
Jtb,Protein JTB OS=Mus musculus OX=10090 GN=Jtb PE=1 SV=1
Jup,Junction plakoglobin OS=Mus musculus GN=Jup PE=1 SV=3
KRT78,"Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=1 SV=2"
KRT9,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"
Kalrn,Kalirin OS=Mus musculus GN=Kalrn PE=1 SV=1
Kank2,KN motif and ankyrin repeat domain-containing protein 2 OS=Mus musculus OX=10090 GN=Kank2 PE=1 SV=1
Kank3,KN motif and ankyrin repeat domain-containing protein 3 OS=Mus musculus OX=10090 GN=Kank3 PE=1 SV=1
Kank4,KN motif and ankyrin repeat domain-containing protein 4 OS=Mus musculus OX=10090 GN=Kank4 PE=1 SV=1
Kansl1,KAT8 regulatory NSL complex subunit 1 OS=Mus musculus OX=10090 GN=Kansl1 PE=1 SV=1
Kars,Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1
Kars1,Lysine--tRNA ligase OS=Mus musculus OX=10090 GN=Kars1 PE=1 SV=1
Kat14,Cysteine-rich protein 2-binding protein OS=Mus musculus OX=10090 GN=Kat14 PE=1 SV=2
Kat7,Histone acetyltransferase KAT7 OS=Mus musculus OX=10090 GN=Kat7 PE=1 SV=1
Katna1,Katanin p60 ATPase-containing subunit A1 OS=Mus musculus OX=10090 GN=Katna1 PE=1 SV=1
Katnal1,Katanin p60 ATPase-containing subunit A-like 1 OS=Mus musculus OX=10090 GN=Katnal1 PE=1 SV=1
Katnal2,Katanin p60 ATPase-containing subunit A-like 2 OS=Mus musculus GN=Katnal2 PE=2 SV=2
Katnb1,Katanin p80 WD40 repeat-containing subunit B1 OS=Mus musculus GN=Katnb1 PE=1 SV=1
Kazn,Kazrin OS=Mus musculus OX=10090 GN=Kazn PE=1 SV=2
Kbp,KIF1-binding protein OS=Mus musculus GN=Kbp PE=2 SV=2
Kbtbd11,Kelch repeat and BTB domain-containing protein 11 OS=Mus musculus GN=Kbtbd11 PE=1 SV=2
Kbtbd3,Kelch repeat and BTB domain-containing protein 3 OS=Mus musculus OX=10090 GN=Kbtbd3 PE=2 SV=1
Kcmf1,E3 ubiquitin-protein ligase KCMF1 OS=Mus musculus GN=Kcmf1 PE=1 SV=1
Kcna1,Potassium voltage-gated channel subfamily A member 1 OS=Mus musculus GN=Kcna1 PE=1 SV=1
Kcna10,Potassium voltage-gated channel subfamily A member 10 OS=Mus musculus GN=Kcna10 PE=2 SV=1
Kcna2,Potassium voltage-gated channel subfamily A member 2 OS=Mus musculus GN=Kcna2 PE=1 SV=1
Kcna3,Potassium voltage-gated channel subfamily A member 3 OS=Mus musculus GN=Kcna3 PE=1 SV=3
Kcna4,Potassium voltage-gated channel subfamily A member 4 OS=Mus musculus GN=Kcna4 PE=1 SV=2
Kcna5,Potassium voltage-gated channel subfamily A member 5 OS=Mus musculus OX=10090 GN=Kcna5 PE=2 SV=2
Kcna6,Potassium voltage-gated channel subfamily A member 6 OS=Mus musculus GN=Kcna6 PE=1 SV=1
Kcnab1,Voltage-gated potassium channel subunit beta-1 OS=Mus musculus GN=Kcnab1 PE=1 SV=2
Kcnab2,Voltage-gated potassium channel subunit beta-2 OS=Mus musculus GN=Kcnab2 PE=1 SV=1
Kcnab3,Voltage-gated potassium channel subunit beta-3 OS=Mus musculus OX=10090 GN=Kcnab3 PE=1 SV=1
Kcnb1,Potassium voltage-gated channel subfamily B member 1 OS=Mus musculus GN=Kcnb1 PE=1 SV=1
Kcnb2,Potassium voltage-gated channel subfamily B member 2 OS=Mus musculus GN=Kcnb2 PE=1 SV=2
Kcnc1,Potassium voltage-gated channel subfamily C member 1 OS=Mus musculus GN=Kcnc1 PE=1 SV=1
Kcnc2,Potassium voltage-gated channel subfamily C member 2 OS=Mus musculus GN=Kcnc2 PE=1 SV=1
Kcnc3,Potassium voltage-gated channel subfamily C member 3 OS=Mus musculus GN=Kcnc3 PE=1 SV=2
Kcnc4,Potassium voltage-gated channel subfamily C member 4 OS=Mus musculus GN=Kcnc4 PE=2 SV=1
Kcnd1,Potassium voltage-gated channel subfamily D member 1 OS=Mus musculus OX=10090 GN=Kcnd1 PE=1 SV=1
Kcnd2,Potassium voltage-gated channel subfamily D member 2 OS=Mus musculus GN=Kcnd2 PE=1 SV=1
Kcnd3,Potassium voltage-gated channel subfamily D member 3 OS=Mus musculus GN=Kcnd3 PE=1 SV=1
Kcne2,Potassium voltage-gated channel subfamily E member 2 OS=Mus musculus OX=10090 GN=Kcne2 PE=2 SV=2
Kcnf1,Potassium voltage-gated channel subfamily F member 1 OS=Mus musculus OX=10090 GN=Kcnf1 PE=1 SV=1
Kcng3,Potassium voltage-gated channel subfamily G member 3 OS=Mus musculus OX=10090 GN=Kcng3 PE=2 SV=1
Kcnh1,Potassium voltage-gated channel subfamily H member 1 OS=Mus musculus OX=10090 GN=Kcnh1 PE=1 SV=2
Kcnh2,Potassium voltage-gated channel subfamily H member 2 OS=Mus musculus OX=10090 GN=Kcnh2 PE=1 SV=2
Kcnh3,Potassium voltage-gated channel subfamily H member 3 OS=Mus musculus OX=10090 GN=Kcnh3 PE=2 SV=3
Kcnh5,Potassium voltage-gated channel subfamily H member 5 OS=Mus musculus OX=10090 GN=Kcnh5 PE=1 SV=3
Kcnh7,Potassium voltage-gated channel subfamily H member 7 OS=Mus musculus GN=Kcnh7 PE=1 SV=2
Kcnip1,Kv channel-interacting protein 1 OS=Mus musculus OX=10090 GN=Kcnip1 PE=1 SV=2
Kcnip2,Kv channel-interacting protein 2 OS=Mus musculus GN=Kcnip2 PE=1 SV=2
Kcnip3,Calsenilin OS=Mus musculus GN=Kcnip3 PE=1 SV=2
Kcnip4,Kv channel-interacting protein 4 OS=Mus musculus GN=Kcnip4 PE=1 SV=1
Kcnj10,ATP-sensitive inward rectifier potassium channel 10 OS=Mus musculus GN=Kcnj10 PE=1 SV=1
Kcnj11,ATP-sensitive inward rectifier potassium channel 11 OS=Mus musculus OX=10090 GN=Kcnj11 PE=1 SV=1
Kcnj12,ATP-sensitive inward rectifier potassium channel 12 OS=Mus musculus OX=10090 GN=Kcnj12 PE=2 SV=2
Kcnj13,Inward rectifier potassium channel 13 OS=Mus musculus OX=10090 GN=Kcnj13 PE=3 SV=1
Kcnj16,Inward rectifier potassium channel 16 OS=Mus musculus OX=10090 GN=Kcnj16 PE=1 SV=2
Kcnj2,Inward rectifier potassium channel 2 OS=Mus musculus OX=10090 GN=Kcnj2 PE=1 SV=1
Kcnj3,G protein-activated inward rectifier potassium channel 1 OS=Mus musculus GN=Kcnj3 PE=1 SV=1
Kcnj4,Inward rectifier potassium channel 4 OS=Mus musculus GN=Kcnj4 PE=1 SV=1
Kcnj6,G protein-activated inward rectifier potassium channel 2 OS=Mus musculus GN=Kcnj6 PE=1 SV=1
Kcnj9,G protein-activated inward rectifier potassium channel 3 OS=Mus musculus OX=10090 GN=Kcnj9 PE=1 SV=2
Kcnk1,Potassium channel subfamily K member 1 OS=Mus musculus GN=Kcnk1 PE=1 SV=2
Kcnk2,Potassium channel subfamily K member 2 OS=Mus musculus OX=10090 GN=Kcnk2 PE=1 SV=3
Kcnma1,Calcium-activated potassium channel subunit alpha-1 OS=Mus musculus GN=Kcnma1 PE=1 SV=2
Kcnmb4,Calcium-activated potassium channel subunit beta-4 OS=Mus musculus OX=10090 GN=Kcnmb4 PE=1 SV=1
Kcnn1,Small conductance calcium-activated potassium channel protein 1 OS=Mus musculus OX=10090 GN=Kcnn1 PE=1 SV=2
Kcnn2,Small conductance calcium-activated potassium channel protein 2 OS=Mus musculus GN=Kcnn2 PE=1 SV=2
Kcnn3,Small conductance calcium-activated potassium channel protein 3 OS=Mus musculus OX=10090 GN=Kcnn3 PE=1 SV=2
Kcnq2,Potassium voltage-gated channel subfamily KQT member 2 OS=Mus musculus GN=Kcnq2 PE=1 SV=1
Kcnq3,Potassium voltage-gated channel subfamily KQT member 3 OS=Mus musculus OX=10090 GN=Kcnq3 PE=1 SV=2
Kcnq4,Potassium voltage-gated channel subfamily KQT member 4 OS=Mus musculus OX=10090 GN=Kcnq4 PE=2 SV=2
Kcnq5,Potassium voltage-gated channel subfamily KQT member 5 OS=Mus musculus GN=Kcnq5 PE=1 SV=2
Kcnt1,Potassium channel subfamily T member 1 OS=Mus musculus OX=10090 GN=Kcnt1 PE=1 SV=2
Kcnv1,Potassium voltage-gated channel subfamily V member 1 OS=Mus musculus OX=10090 GN=Kcnv1 PE=2 SV=2
Kct2,Keratinocyte-associated transmembrane protein 2 OS=Mus musculus OX=10090 GN=Kct2 PE=1 SV=2
Kctd1,BTB/POZ domain-containing protein KCTD1 OS=Mus musculus OX=10090 GN=Kctd1 PE=1 SV=1
Kctd10,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 OS=Mus musculus OX=10090 GN=Kctd10 PE=1 SV=1
Kctd12,BTB/POZ domain-containing protein KCTD12 OS=Mus musculus GN=Kctd12 PE=1 SV=1
Kctd13,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 OS=Mus musculus OX=10090 GN=Kctd13 PE=2 SV=1
Kctd15,BTB/POZ domain-containing protein KCTD15 OS=Mus musculus OX=10090 GN=Kctd15 PE=1 SV=1
Kctd16,BTB/POZ domain-containing protein KCTD16 OS=Mus musculus GN=Kctd16 PE=1 SV=2
Kctd2,BTB/POZ domain-containing protein KCTD2 OS=Mus musculus OX=10090 GN=Kctd2 PE=2 SV=1
Kctd21,BTB/POZ domain-containing protein KCTD21 OS=Mus musculus OX=10090 GN=Kctd21 PE=1 SV=1
Kctd3,BTB/POZ domain-containing protein KCTD3 OS=Mus musculus OX=10090 GN=Kctd3 PE=1 SV=1
Kctd4,BTB/POZ domain-containing protein KCTD4 OS=Mus musculus GN=Kctd4 PE=1 SV=1
Kctd5,BTB/POZ domain-containing protein KCTD5 OS=Mus musculus OX=10090 GN=Kctd5 PE=1 SV=1
Kctd6,BTB/POZ domain-containing protein KCTD6 OS=Mus musculus OX=10090 GN=Kctd6 PE=2 SV=1
Kctd7,BTB/POZ domain-containing protein KCTD7 OS=Mus musculus OX=10090 GN=Kctd7 PE=1 SV=1
Kctd8,BTB/POZ domain-containing protein KCTD8 OS=Mus musculus GN=Kctd8 PE=1 SV=1
Kctd9,BTB/POZ domain-containing protein KCTD9 OS=Mus musculus OX=10090 GN=Kctd9 PE=2 SV=1
Kdelr1,ER lumen protein-retaining receptor 1 OS=Mus musculus OX=10090 GN=Kdelr1 PE=1 SV=1
Kdelr2,ER lumen protein-retaining receptor 2 OS=Mus musculus OX=10090 GN=Kdelr2 PE=1 SV=1
Kdelr3,ER lumen protein-retaining receptor 3 OS=Mus musculus OX=10090 GN=Kdelr3 PE=1 SV=1
Kdm1a,Lysine-specific histone demethylase 1A OS=Mus musculus GN=Kdm1a PE=1 SV=2
Kdm2a,Lysine-specific demethylase 2A OS=Mus musculus OX=10090 GN=Kdm2a PE=1 SV=2
Kdm2b,Lysine-specific demethylase 2B OS=Mus musculus GN=Kdm2b PE=1 SV=1
Kdm3b,Lysine-specific demethylase 3B OS=Mus musculus OX=10090 GN=Kdm3b PE=1 SV=2
Kdm4b,Lysine-specific demethylase 4B OS=Mus musculus OX=10090 GN=Kdm4b PE=2 SV=1
Kdm5a,Lysine-specific demethylase 5A OS=Mus musculus OX=10090 GN=Kdm5a PE=1 SV=2
Kdm5c,Lysine-specific demethylase 5C OS=Mus musculus OX=10090 GN=Kdm5c PE=1 SV=4
Kdm5d,Lysine-specific demethylase 5D OS=Mus musculus OX=10090 GN=Kdm5d PE=2 SV=2
Kdr,Vascular endothelial growth factor receptor 2 OS=Mus musculus GN=Kdr PE=1 SV=1
Kdsr,3-ketodihydrosphingosine reductase OS=Mus musculus GN=Kdsr PE=1 SV=1
Keap1,Kelch-like ECH-associated protein 1 OS=Mus musculus OX=10090 GN=Keap1 PE=1 SV=1
Khdc4,KH homology domain-containing protein 4 OS=Mus musculus OX=10090 GN=Khdc4 PE=1 SV=1
Khdrbs1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Mus musculus GN=Khdrbs1 PE=1 SV=2"
Khdrbs2,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Mus musculus OX=10090 GN=Khdrbs2 PE=1 SV=1"
Khdrbs3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3 OS=Mus musculus OX=10090 GN=Khdrbs3 PE=1 SV=1"
Khk,Ketohexokinase OS=Mus musculus OX=10090 GN=Khk PE=1 SV=1
Khnyn,Protein KHNYN OS=Mus musculus OX=10090 GN=Khnyn PE=2 SV=2
Khsrp,Far upstream element-binding protein 2 OS=Mus musculus GN=Khsrp PE=1 SV=2
Kiaa0100,Protein KIAA0100 OS=Mus musculus OX=10090 GN=Kiaa0100 PE=1 SV=1
Kiaa0232,Uncharacterized protein KIAA0232 OS=Mus musculus OX=10090 GN=Kiaa0232 PE=1 SV=2
Kiaa0319,Dyslexia-associated protein KIAA0319 homolog OS=Mus musculus OX=10090 GN=Kiaa0319 PE=1 SV=1
Kiaa0319l,Dyslexia-associated protein KIAA0319-like protein OS=Mus musculus OX=10090 GN=Kiaa0319l PE=1 SV=1
Kiaa0513,Uncharacterized protein KIAA0513 OS=Mus musculus GN=Kiaa0513 PE=1 SV=1
Kiaa0556,Protein KIAA0556 OS=Mus musculus OX=10090 GN=Kiaa0556 PE=1 SV=2
Kiaa0753,Protein moonraker OS=Mus musculus GN=Kiaa0753 PE=1 SV=2
Kiaa0895l,Uncharacterized protein KIAA0895-like OS=Mus musculus OX=10090 GN=Kiaa0895l PE=2 SV=1
Kiaa1024,UPF0258 protein KIAA1024 OS=Mus musculus GN=Kiaa1024 PE=1 SV=1
Kiaa1107,AP2-interacting clathrin-endocytosis protein OS=Mus musculus OX=10090 GN=Kiaa1107 PE=1 SV=6
Kiaa1109,Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109 PE=1 SV=4
Kiaa1211,Uncharacterized protein KIAA1211 OS=Mus musculus GN=Kiaa1211 PE=1 SV=3
Kiaa1324,UPF0577 protein KIAA1324 OS=Mus musculus OX=10090 GN=Kiaa1324 PE=1 SV=1
Kiaa1328,Protein hinderin OS=Mus musculus GN=Kiaa1328 PE=1 SV=2
Kiaa1468,LisH domain and HEAT repeat-containing protein KIAA1468 OS=Mus musculus GN=Kiaa1468 PE=1 SV=1
Kiaa1522,Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522 PE=1 SV=1
Kiaa1543,Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus GN=Kiaa1543 PE=1 SV=1
Kiaa1549,UPF0606 protein KIAA1549 OS=Mus musculus GN=Kiaa1549 PE=1 SV=2
Kiaa1598,Shootin-1 OS=Mus musculus GN=Kiaa1598 PE=1 SV=1
Kiaa1671,Uncharacterized protein KIAA1671 OS=Mus musculus GN=Kiaa1671 PE=2 SV=1
Kiaa1841,Uncharacterized protein KIAA1841 OS=Mus musculus GN=Kiaa1841 PE=1 SV=2
Kiaa2013,Uncharacterized protein KIAA2013 OS=Mus musculus OX=10090 GN=Kiaa2013 PE=1 SV=1
Kif13a,Kinesin-like protein KIF13A OS=Mus musculus OX=10090 GN=Kif13a PE=1 SV=1
Kif14,Kinesin-like protein KIF14 OS=Mus musculus OX=10090 GN=Kif14 PE=1 SV=1
Kif16b,Kinesin-like protein KIF16B OS=Mus musculus OX=10090 GN=Kif16b PE=1 SV=1
Kif17,Kinesin-like protein KIF17 OS=Mus musculus OX=10090 GN=Kif17 PE=1 SV=1
Kif1a,Kinesin-like protein KIF1A OS=Mus musculus GN=Kif1a PE=1 SV=2
Kif1b,Kinesin-like protein KIF1B OS=Mus musculus GN=Kif1b PE=1 SV=2
Kif1bp,KIF1-binding protein OS=Mus musculus GN=Kif1bp PE=1 SV=2
Kif1c,Kinesin-like protein KIF1C OS=Mus musculus OX=10090 GN=Kif1c PE=1 SV=2
Kif21a,Kinesin-like protein KIF21A OS=Mus musculus GN=Kif21a PE=1 SV=2
Kif21b,Kinesin-like protein KIF21B OS=Mus musculus GN=Kif21b PE=1 SV=1
Kif26a,Kinesin-like protein KIF26A OS=Mus musculus OX=10090 GN=Kif26a PE=1 SV=2
Kif26b,Kinesin-like protein KIF26B OS=Mus musculus GN=Kif26b PE=2 SV=2
Kif27,Kinesin-like protein KIF27 OS=Mus musculus GN=Kif27 PE=1 SV=1
Kif2a,Kinesin-like protein KIF2A OS=Mus musculus GN=Kif2a PE=1 SV=2
Kif2b,Kinesin-like protein KIF2B OS=Mus musculus OX=10090 GN=Kif2b PE=1 SV=1
Kif2c,Kinesin-like protein KIF2C OS=Mus musculus GN=Kif2c PE=1 SV=1
Kif3a,Kinesin-like protein KIF3A OS=Mus musculus GN=Kif3a PE=1 SV=2
Kif3b,Kinesin-like protein KIF3B OS=Mus musculus GN=Kif3b PE=1 SV=1
Kif3c,Kinesin-like protein KIF3C OS=Mus musculus GN=Kif3c PE=1 SV=3
Kif4,Chromosome-associated kinesin KIF4 OS=Mus musculus OX=10090 GN=Kif4 PE=1 SV=3
Kif5a,Kinesin heavy chain isoform 5A OS=Mus musculus GN=Kif5a PE=1 SV=3
Kif5b,Kinesin-1 heavy chain OS=Mus musculus GN=Kif5b PE=1 SV=2
Kif5c,Kinesin heavy chain isoform 5C OS=Mus musculus GN=Kif5c PE=1 SV=2
Kif7,Kinesin-like protein KIF7 OS=Mus musculus OX=10090 GN=Kif7 PE=1 SV=1
Kif9,Kinesin-like protein KIF9 OS=Mus musculus OX=10090 GN=Kif9 PE=1 SV=2
Kifap3,Kinesin-associated protein 3 OS=Mus musculus GN=Kifap3 PE=1 SV=1
Kifbp,KIF-binding protein OS=Mus musculus OX=10090 GN=Kifbp PE=1 SV=2
Kifc2,Kinesin-like protein KIFC2 OS=Mus musculus OX=10090 GN=Kifc2 PE=1 SV=1
Kifc3,Kinesin-like protein KIFC3 OS=Mus musculus OX=10090 GN=Kifc3 PE=1 SV=4
Kin,DNA/RNA-binding protein KIN17 OS=Mus musculus OX=10090 GN=Kin PE=1 SV=1
Kirrel1,Kin of IRRE-like protein 1 OS=Mus musculus OX=10090 GN=Kirrel1 PE=1 SV=1
Kirrel2,Kin of IRRE-like protein 2 OS=Mus musculus OX=10090 GN=Kirrel2 PE=1 SV=1
Kirrel3,Kin of IRRE-like protein 3 OS=Mus musculus OX=10090 GN=Kirrel3 PE=1 SV=1
Kit,Mast/stem cell growth factor receptor Kit OS=Mus musculus GN=Kit PE=1 SV=3
Klc1,Kinesin light chain 1 OS=Mus musculus GN=Klc1 PE=1 SV=3
Klc2,Kinesin light chain 2 OS=Mus musculus GN=Klc2 PE=1 SV=1
Klc3,Kinesin light chain 3 OS=Mus musculus OX=10090 GN=Klc3 PE=1 SV=1
Klc4,Kinesin light chain 4 OS=Mus musculus OX=10090 GN=Klc4 PE=1 SV=1
Klf13,Krueppel-like factor 13 OS=Mus musculus OX=10090 GN=Klf13 PE=1 SV=2
Klf16,Krueppel-like factor 16 OS=Mus musculus OX=10090 GN=Klf16 PE=1 SV=2
Klf5,Krueppel-like factor 5 OS=Mus musculus OX=10090 GN=Klf5 PE=1 SV=2
Klf9,Krueppel-like factor 9 OS=Mus musculus OX=10090 GN=Klf9 PE=2 SV=1
Klhdc10,Kelch domain-containing protein 10 OS=Mus musculus OX=10090 GN=Klhdc10 PE=1 SV=1
Klhdc2,Kelch domain-containing protein 2 OS=Mus musculus OX=10090 GN=Klhdc2 PE=2 SV=3
Klhdc3,Kelch domain-containing protein 3 OS=Mus musculus OX=10090 GN=Klhdc3 PE=2 SV=1
Klhdc4,Kelch domain-containing protein 4 OS=Mus musculus OX=10090 GN=Klhdc4 PE=2 SV=2
Klhdc7a,Kelch domain-containing protein 7A OS=Mus musculus OX=10090 GN=Klhdc7a PE=1 SV=3
Klhdc8a,Kelch domain-containing protein 8A OS=Mus musculus OX=10090 GN=Klhdc8a PE=2 SV=1
Klhdc8b,Kelch domain-containing protein 8B OS=Mus musculus OX=10090 GN=Klhdc8b PE=2 SV=1
Klhdc9,Kelch domain-containing protein 9 OS=Mus musculus OX=10090 GN=Klhdc9 PE=1 SV=1
Klhl1,Kelch-like protein 1 OS=Mus musculus OX=10090 GN=Klhl1 PE=2 SV=2
Klhl11,Kelch-like protein 11 OS=Mus musculus OX=10090 GN=Klhl11 PE=1 SV=1
Klhl12,Kelch-like protein 12 OS=Mus musculus OX=10090 GN=Klhl12 PE=2 SV=1
Klhl13,Kelch-like protein 13 OS=Mus musculus OX=10090 GN=Klhl13 PE=2 SV=3
Klhl14,Kelch-like protein 14 OS=Mus musculus OX=10090 GN=Klhl14 PE=1 SV=2
Klhl15,Kelch-like protein 15 OS=Mus musculus OX=10090 GN=Klhl15 PE=2 SV=1
Klhl2,Kelch-like protein 2 OS=Mus musculus OX=10090 GN=Klhl2 PE=1 SV=1
Klhl20,Kelch-like protein 20 OS=Mus musculus OX=10090 GN=Klhl20 PE=2 SV=2
Klhl22,Kelch-like protein 22 OS=Mus musculus OX=10090 GN=Klhl22 PE=1 SV=1
Klhl24,Kelch-like protein 24 OS=Mus musculus OX=10090 GN=Klhl24 PE=2 SV=2
Klhl26,Kelch-like protein 26 OS=Mus musculus OX=10090 GN=Klhl26 PE=1 SV=1
Klhl29,Kelch-like protein 29 OS=Mus musculus OX=10090 GN=Klhl29 PE=2 SV=3
Klhl3,Kelch-like protein 3 OS=Mus musculus OX=10090 GN=Klhl3 PE=1 SV=2
Klhl42,Kelch-like protein 42 OS=Mus musculus OX=10090 GN=Klhl42 PE=2 SV=1
Klhl7,Kelch-like protein 7 OS=Mus musculus OX=10090 GN=Klhl7 PE=2 SV=1
